type,layer,length,x1,y1,x2,y2
LINE,S-RBAR,8.0,64020.21571976069,27520.39394708468,64028.21571976069,27520.39394708468
LINE,S-RBAR,420.0,63824.71960694555,27520.39394708468,63824.71960694555,27100.39394708468
LINE,S-RBAR,420.0,63832.71960694555,27520.39394708468,63832.71960694555,27100.39394708468
LINE,S-RBAR,8.0,63824.71960694555,27520.39394708468,63832.71960694555,27520.39394708468
LINE,S-RBAR,420.0,63629.22349413039,27520.39394708468,63629.22349413039,27100.39394708468
LINE,S-RBAR,420.0,63637.22349413039,27520.39394708468,63637.22349413039,27100.39394708468
LINE,S-RBAR,8.0,63629.22349413039,27520.39394708468,63637.22349413039,27520.39394708468
LINE,S-RBAR,420.0,63433.72738131525,27520.39394708468,63433.72738131525,27100.39394708468
LINE,S-RBAR,420.0,63441.72738131524,27520.39394708468,63441.72738131524,27100.39394708468
LINE,S-RBAR,8.0,63433.72738131525,27520.39394708468,63441.72738131524,27520.39394708468
LINE,S-RBAR,420.0,63238.23126850009,27520.39394708468,63238.23126850009,27100.39394708468
LINE,S-RBAR,420.0,63246.23126850009,27520.39394708468,63246.23126850009,27100.39394708468
LINE,S-RBAR,8.0,63238.23126850009,27520.39394708468,63246.23126850009,27520.39394708468
LINE,S-RBAR,20.0,65909.04258564081,25974.61616930692,65929.04258564081,25974.61616930692
LINE,S-RBAR,14.14,65909.04258564081,25982.61616930692,65923.18472126454,25982.61616930692
LINE,S-RBAR,5.86,65923.18472126454,25982.61616930692,65929.04258564081,25982.61616930692
LINE,S-RBAR,52.0,65909.04258564081,25982.61616930692,65857.04258564083,25982.61616930692
LINE,S-RBAR,52.0,65909.04258564081,25974.61616930692,65857.04258564083,25974.61616930692
LINE,S-RBAR,20.0,65837.04258564081,25974.61616930692,65857.04258564083,25974.61616930692
LINE,S-RBAR,20.0,65837.04258564081,25982.61616930692,65857.04258564083,25982.61616930692
LINE,S-RBAR,20.0,65909.04258564081,25974.61616930692,65929.04258564081,25974.61616930692
LINE,S-RBAR,5.86,65923.18472126454,25982.61616930692,65929.04258564081,25982.61616930692
LINE,S-RBAR,6.11,65836.66251345641,25982.61616930692,65830.55373292911,25982.61616930692
LINE,S-RBAR,8.0,65830.55373292911,25982.61616930692,65830.55373292911,25974.61616930692
LINE,S-RBAR,6.11,65836.66251345641,25974.61616930692,65830.55373292911,25974.61616930692
LINE,S-RBAR,20.0,65909.04258564081,26168.17172486247,65929.04258564081,26168.17172486247
LINE,S-RBAR,14.14,65909.04258564081,26176.17172486247,65923.18472126454,26176.17172486247
LINE,S-RBAR,5.86,65923.18472126454,26176.17172486247,65929.04258564081,26176.17172486247
LINE,S-RBAR,52.0,65909.04258564081,26176.17172486247,65857.04258564083,26176.17172486247
LINE,S-RBAR,52.0,65909.04258564081,26168.17172486247,65857.04258564083,26168.17172486247
LINE,S-RBAR,20.0,65837.04258564081,26168.17172486247,65857.04258564083,26168.17172486247
LINE,S-RBAR,20.0,65837.04258564081,26176.17172486247,65857.04258564083,26176.17172486247
LINE,S-RBAR,20.0,65909.04258564081,26168.17172486247,65929.04258564081,26168.17172486247
LINE,S-RBAR,5.86,65923.18472126454,26176.17172486247,65929.04258564081,26176.17172486247
LINE,S-RBAR,6.11,65836.66251345641,26176.17172486247,65830.55373292911,26176.17172486247
LINE,S-RBAR,8.0,65830.55373292911,26176.17172486247,65830.55373292911,26168.17172486247
LINE,S-RBAR,6.11,65836.66251345641,26168.17172486247,65830.55373292911,26168.17172486247
LINE,S-RBAR,9.4,65885.5147215958,26822.81581649374,65891.04258564081,26830.4242686241
LINE,S-RBAR,9.4,65891.04258564081,26830.4242686241,65885.5147215958,26838.03272075446
LINE,S-RBAR,9.4,65885.5147215958,26838.03272075446,65876.57044968581,26835.12655064244
LINE,S-RBAR,9.4,65876.57044968581,26835.12655064244,65876.57044968581,26825.72198660577
LINE,S-RBAR,9.4,65876.57044968581,26825.72198660577,65885.5147215958,26822.81581649374
LINE,S-RBAR,9.4,65885.5147215958,26567.81581649373,65891.04258564081,26575.42426862409
LINE,S-RBAR,9.4,65891.04258564081,26575.42426862409,65885.5147215958,26583.03272075445
LINE,S-RBAR,9.4,65885.5147215958,26583.03272075445,65876.57044968581,26580.12655064243
LINE,S-RBAR,9.4,65876.57044968581,26580.12655064243,65876.57044968581,26570.72198660576
LINE,S-RBAR,9.4,65876.57044968581,26570.72198660576,65885.5147215958,26567.81581649373
LINE,S-RBAR,9.4,65885.5147215958,26067.81581649375,65891.04258564081,26075.42426862411
LINE,S-RBAR,9.4,65891.04258564081,26075.42426862411,65885.5147215958,26083.03272075447
LINE,S-RBAR,9.4,65885.5147215958,26083.03272075447,65876.57044968581,26080.12655064245
LINE,S-RBAR,9.4,65876.57044968581,26080.12655064245,65876.57044968581,26070.72198660577
LINE,S-RBAR,9.4,65876.57044968581,26070.72198660577,65885.5147215958,26067.81581649375
LINE,S-RBAR,9.4,65885.5147215958,25567.81581649373,65891.04258564081,25575.42426862409
LINE,S-RBAR,9.4,65891.04258564081,25575.42426862409,65885.5147215958,25583.03272075445
LINE,S-RBAR,9.4,65885.5147215958,25583.03272075445,65876.57044968581,25580.12655064243
LINE,S-RBAR,9.4,65876.57044968581,25580.12655064243,65876.57044968581,25570.72198660575
LINE,S-RBAR,9.4,65876.57044968581,25570.72198660575,65885.5147215958,25567.81581649373
LINE,S-RBAR,9.4,65885.5147215958,25312.81581649374,65891.04258564081,25320.4242686241
LINE,S-RBAR,9.4,65891.04258564081,25320.4242686241,65885.5147215958,25328.03272075446
LINE,S-RBAR,9.4,65885.5147215958,25328.03272075446,65876.57044968581,25325.12655064244
LINE,S-RBAR,9.4,65876.57044968581,25325.12655064244,65876.57044968581,25315.72198660576
LINE,S-RBAR,9.4,65876.57044968581,25315.72198660576,65885.5147215958,25312.81581649374
LINE,S-RBAR,9.4,65885.5147215958,25092.78549495435,65891.04258564081,25100.39394708471
LINE,S-RBAR,9.4,65891.04258564081,25100.39394708471,65885.5147215958,25108.00239921507
LINE,S-RBAR,9.4,65885.5147215958,25108.00239921507,65876.57044968581,25105.09622910305
LINE,S-RBAR,9.4,65876.57044968581,25105.09622910305,65876.57044968581,25095.69166506638
LINE,S-RBAR,9.4,65876.57044968581,25095.69166506638,65885.5147215958,25092.78549495435
LINE,S-RBAR,9.4,65880.57044968578,27042.78549495435,65889.51472159578,27045.69166506637
