
=== PC-GF-01 (source: PC-GF-01(R)) ===
  Q4     T16  need=2   len=5850    found=1   unclaimed_raw=0   DEAD END (zero evidence)

=== PW-GF-11 (source: PW-GF-11(R1)) ===
  B2     T8   need=104 len=900     found=13  unclaimed_raw=0   DEAD END (zero evidence)
  H      T12  need=11  len=1150    found=1   unclaimed_raw=1   DEAD END (evidence already fully used)
  D      T8   need=24  len=1200    found=12  unclaimed_raw=0   DEAD END (zero evidence)
  C      T8   need=12  len=1225    found=3   unclaimed_raw=3   DEAD END (evidence already fully used)
  M      T20  need=2   len=1425    found=0   unclaimed_raw=2   POSSIBLE BUG (unclaimed_raw=2 vs found=0/2)
  L      T20  need=3   len=1675    found=2   unclaimed_raw=4   POSSIBLE BUG (unclaimed_raw=4 vs found=2/3)
  J      T16  need=3   len=1750    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  J1     T16  need=2   len=1850    found=1   unclaimed_raw=1   DEAD END (evidence already fully used)
  G      T12  need=4   len=2225    found=2   unclaimed_raw=5   POSSIBLE BUG (unclaimed_raw=5 vs found=2/4)
  M1     T20  need=2   len=2275    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  I      T16  need=6   len=2375    found=0   unclaimed_raw=2   POSSIBLE BUG (unclaimed_raw=2 vs found=0/6)
  N      T25  need=2   len=2575    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  I1     T16  need=4   len=9000    found=2   unclaimed_raw=2   DEAD END (evidence already fully used)
  F1     T10  need=23  len=9050    found=8   unclaimed_raw=0   DEAD END (zero evidence)
  O      T20  need=2   len=9750    found=1   unclaimed_raw=1   DEAD END (evidence already fully used)

=== PW-GF-27 (source: PW-GF-27(R2)) ===
  D      T8   need=33  len=575     found=0   unclaimed_raw=2   POSSIBLE BUG (unclaimed_raw=2 vs found=0/33)
  B2     T8   need=48  len=950     found=25  unclaimed_raw=4   DEAD END (evidence already fully used)
  C      T8   need=24  len=1050    found=15  unclaimed_raw=0   DEAD END (zero evidence)
  E      T10  need=2   len=1050    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  A1     T8   need=3   len=1075    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  A2     T8   need=6   len=1125    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  C1     T8   need=9   len=1125    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  A3     T8   need=26  len=1350    found=18  unclaimed_raw=19  POSSIBLE BUG (unclaimed_raw=19 vs found=18/26)
  A4     T8   need=26  len=1450    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  C2     T8   need=33  len=1575    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  G1     T16  need=2   len=1950    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  G2     T16  need=2   len=2475    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  G2     T16  need=2   len=2625    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  J3     T16  need=1   len=4375    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  J4     T16  need=3   len=4375    found=0   unclaimed_raw=0   DEAD END (zero evidence)

=== PW-GF-30 (source: PW-GF-30(R2)) ===
  B2     T8   need=92  len=950     found=2   unclaimed_raw=0   DEAD END (zero evidence)
  E1     T12  need=2   len=1725    found=1   unclaimed_raw=0   DEAD END (zero evidence)
  G      T16  need=4   len=3150    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  D1     T10  need=17  len=9050    found=11  unclaimed_raw=0   DEAD END (zero evidence)
  F      T16  need=4   len=9050    found=1   unclaimed_raw=1   DEAD END (evidence already fully used)
  J      T20  need=2   len=9750    found=0   unclaimed_raw=0   DEAD END (zero evidence)
