/opt/homebrew/lib/python3.14/site-packages/face_recognition_models/__init__.py:7: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_filename
[sheets_sync] configured: sheet=1CzBMtY1gtp0nB1j_0tZvGuLuEkH_Po4mgl8mfF9rVGo creds=/Users/jonathan/elco/vme/facerecog/secrets/google-service-account.json
[face_engine] loaded 6 face encodings for 3 employees
 * Serving Flask app 'gate_server'
 * Debug mode: off
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on https://127.0.0.1:5050
 * Running on https://172.20.10.4:5050
[33mPress CTRL+C to quit[0m
172.20.10.4 - - [25/Jul/2026 00:38:21] "POST /recognize HTTP/1.1" 200 -
172.20.10.4 - - [25/Jul/2026 00:38:22] "POST /recognize HTTP/1.1" 200 -
172.20.10.4 - - [25/Jul/2026 00:38:23] "POST /recognize HTTP/1.1" 200 -
172.20.10.4 - - [25/Jul/2026 00:38:24] "POST /recognize HTTP/1.1" 200 -
172.20.10.4 - - [25/Jul/2026 00:38:25] "POST /recognize HTTP/1.1" 200 -
172.20.10.4 - - [25/Jul/2026 00:38:26] "POST /recognize HTTP/1.1" 200 -
172.20.10.4 - - [25/Jul/2026 00:38:27] "POST /recognize HTTP/1.1" 200 -
172.20.10.4 - - [25/Jul/2026 00:38:28] "POST /recognize HTTP/1.1" 200 -
172.20.10.4 - - [25/Jul/2026 00:38:29] "POST /recognize HTTP/1.1" 200 -
172.20.10.4 - - [25/Jul/2026 00:38:30] "POST /recognize HTTP/1.1" 200 -
172.20.10.4 - - [25/Jul/2026 00:38:31] "POST /recognize HTTP/1.1" 200 -
172.20.10.4 - - [25/Jul/2026 00:38:32] "POST /recognize HTTP/1.1" 200 -
172.20.10.4 - - [25/Jul/2026 00:38:33] "POST /recognize HTTP/1.1" 200 -
172.20.10.4 - - [25/Jul/2026 00:38:34] "POST /recognize HTTP/1.1" 200 -
172.20.10.4 - - [25/Jul/2026 00:38:35] "POST /recognize HTTP/1.1" 200 -
172.20.10.4 - - [25/Jul/2026 00:38:36] "POST /recognize HTTP/1.1" 200 -
172.20.10.4 - - [25/Jul/2026 00:38:37] "POST /recognize HTTP/1.1" 200 -
172.20.10.4 - - [25/Jul/2026 00:38:38] "POST /recognize HTTP/1.1" 200 -
